uid,lat,lng,datetime,trip_id,call_type
20000003,41.143401,-8.602875,2013-09-22 01:25:17,1379823917620000003,A
20000003,41.142033,-8.601894,2013-09-22 01:25:32,1379823917620000003,A
20000003,41.139567,-8.601381,2013-09-22 01:25:47,1379823917620000003,A
20000003,41.137407,-8.601417,2013-09-22 01:26:02,1379823917620000003,A
20000003,41.137497,-8.60229,2013-09-22 01:26:17,1379823917620000003,A
20000003,41.137983,-8.604198,2013-09-22 01:26:32,1379823917620000003,A
20000003,41.137056,-8.606376,2013-09-22 01:26:47,1379823917620000003,A
20000003,41.136354,-8.60805,2013-09-22 01:27:02,1379823917620000003,A
20000003,41.136354,-8.608203,2013-09-22 01:27:17,1379823917620000003,A
20000003,41.136345,-8.608212,2013-09-22 01:27:32,1379823917620000003,A
20000003,41.136354,-8.608194,2013-09-22 01:27:47,1379823917620000003,A
20000003,41.136363,-8.608167,2013-09-22 01:28:02,1379823917620000003,A
20000003,41.136543,-8.60823,2013-09-22 01:28:17,1379823917620000003,A
20000003,41.137263,-8.608536,2013-09-22 01:28:32,1379823917620000003,A
20000003,41.137272,-8.60868,2013-09-22 01:28:47,1379823917620000003,A
20000003,41.136912,-8.608617,2013-09-22 01:29:02,1379823917620000003,A
20000003,41.136174,-8.608329,2013-09-22 01:29:17,1379823917620000003,A
20000003,41.134707,-8.607852,2013-09-22 01:29:32,1379823917620000003,A
20000003,41.132295,-8.607078,2013-09-22 01:29:47,1379823917620000003,A
20000003,41.129577,-8.606196,2013-09-22 01:30:02,1379823917620000003,A
20000003,41.126949,-8.605674,2013-09-22 01:30:17,1379823917620000003,A
20000003,41.124582,-8.605854,2013-09-22 01:30:32,1379823917620000003,A
20000003,41.121954,-8.606106,2013-09-22 01:30:47,1379823917620000003,A
20000003,41.120262,-8.606151,2013-09-22 01:31:02,1379823917620000003,A
20000003,41.119425,-8.606358,2013-09-22 01:31:17,1379823917620000003,A
20000003,41.11749,-8.606565,2013-09-22 01:31:32,1379823917620000003,A
20000003,41.111703,-8.607033,2013-09-22 01:31:47,1379823917620000003,A
20000003,41.10813,-8.606664,2013-09-22 01:32:02,1379823917620000003,A
20000003,41.105997,-8.603793,2013-09-22 01:32:17,1379823917620000003,A
20000003,41.103117,-8.60139,2013-09-22 01:32:32,1379823917620000003,A
20000003,41.100615,-8.597718,2013-09-22 01:32:47,1379823917620000003,A
20000003,41.098176,-8.594055,2013-09-22 01:33:02,1379823917620000003,A
20000003,41.095359,-8.590563,2013-09-22 01:33:17,1379823917620000003,A
20000003,41.091642,-8.587611,2013-09-22 01:33:32,1379823917620000003,A
20000003,41.087952,-8.585748,2013-09-22 01:33:47,1379823917620000003,A
20000003,41.084703,-8.584254,2013-09-22 01:34:02,1379823917620000003,A
20000003,41.081598,-8.582778,2013-09-22 01:34:17,1379823917620000003,A
20000003,41.078439,-8.580897,2013-09-22 01:34:32,1379823917620000003,A
20000003,41.076189,-8.578917,2013-09-22 01:34:47,1379823917620000003,A
20000003,41.073471,-8.580726,2013-09-22 01:35:02,1379823917620000003,A
20000003,41.069772,-8.582022,2013-09-22 01:35:17,1379823917620000003,A
20000003,41.065353,-8.581104,2013-09-22 01:35:32,1379823917620000003,A
20000003,41.061069,-8.579169,2013-09-22 01:35:47,1379823917620000003,A
20000003,41.056713,-8.577837,2013-09-22 01:36:02,1379823917620000003,A
20000003,41.053176,-8.57466,2013-09-22 01:36:17,1379823917620000003,A
20000003,41.049711,-8.571762,2013-09-22 01:36:32,1379823917620000003,A
20000003,41.046327,-8.57142,2013-09-22 01:36:47,1379823917620000003,A
20000003,41.043744,-8.571429,2013-09-22 01:37:02,1379823917620000003,A
20000003,41.044104,-8.570529,2013-09-22 01:37:17,1379823917620000003,A
20000003,41.043024,-8.569584,2013-09-22 01:37:32,1379823917620000003,A
20000003,41.040954,-8.56908,2013-09-22 01:37:47,1379823917620000003,A
20000003,41.040918,-8.566857,2013-09-22 01:38:02,1379823917620000003,A
20000003,41.040918,-8.564364,2013-09-22 01:38:17,1379823917620000003,A
20000003,41.039901,-8.563734,2013-09-22 01:38:32,1379823917620000003,A
20000003,41.039298,-8.564679,2013-09-22 01:38:47,1379823917620000003,A
20000003,41.037948,-8.565723,2013-09-22 01:39:02,1379823917620000003,A
20000003,41.03667,-8.566002,2013-09-22 01:39:17,1379823917620000003,A
20000003,41.035842,-8.566173,2013-09-22 01:39:32,1379823917620000003,A
20000003,41.162013,-8.581869,2013-09-28 20:36:13,1380411373620000003,A
20000003,41.162724,-8.582319,2013-09-28 20:36:28,1380411373620000003,A
20000003,41.163183,-8.583426,2013-09-28 20:36:43,1380411373620000003,A
